time,open,high,low,close,Volume
2015-09-30T15:00:00+03:00,66789,67686,66741,67060,2054151
2015-09-30T19:00:00+03:00,67033,67169,66860,66907,339234
2015-09-30T23:00:00+03:00,66906,67054,66872,66952,55205
2015-10-01T07:00:00+03:00,66945,66945,66242,66564,561118
2015-10-01T11:00:00+03:00,66568,67050,66513,67031,1256771
2015-10-01T15:00:00+03:00,67032,67157,66575,67088,1578848
2015-10-01T19:00:00+03:00,67135,67380,67125,67330,388437
2015-10-01T23:00:00+03:00,67330,67334,67190,67200,41641
2015-10-02T07:00:00+03:00,67189,67490,67100,67405,402162
2015-10-02T11:00:00+03:00,67409,68011,67406,67914,1248660
2015-10-02T15:00:00+03:00,67915,68198,67621,67880,1535110
2015-10-02T19:00:00+03:00,67895,67948,67464,67560,512978
2015-10-02T23:00:00+03:00,67564,67616,67455,67460,69860
2015-10-05T07:00:00+03:00,67460,67460,66926,67076,456920
2015-10-05T11:00:00+03:00,67076,67077,66455,66498,1169936
2015-10-05T15:00:00+03:00,66499,66656,65915,66000,1621595
2015-10-05T19:00:00+03:00,65989,66374,65962,66129,376551
2015-10-05T23:00:00+03:00,66130,66277,66109,66180,48707
2015-10-06T07:00:00+03:00,66193,66656,66053,66597,502645
2015-10-06T11:00:00+03:00,66597,66608,66182,66360,947189
2015-10-06T15:00:00+03:00,66360,66369,64807,64988,2361536
2015-10-06T19:00:00+03:00,64995,65115,64753,64792,420883
2015-10-06T23:00:00+03:00,64792,64825,64620,64656,71565
2015-10-07T07:00:00+03:00,64620,64620,63757,63950,890394
2015-10-07T11:00:00+03:00,63944,63985,63123,63380,1680353
2015-10-07T15:00:00+03:00,63375,64180,63100,64143,2108116
2015-10-07T19:00:00+03:00,64143,64177,63601,63750,650336
2015-10-07T23:00:00+03:00,63750,64099,63706,63937,97198
2015-10-08T07:00:00+03:00,63927,63986,63427,63520,598980
2015-10-08T11:00:00+03:00,63521,63967,63300,63684,1189985
2015-10-08T15:00:00+03:00,63682,63848,63206,63365,1446244
2015-10-08T19:00:00+03:00,63305,63305,62517,62594,782568
2015-10-08T23:00:00+03:00,62591,62620,62500,62583,61673
2015-10-09T07:00:00+03:00,62610,62610,62169,62478,632869
2015-10-09T11:00:00+03:00,62477,62917,61957,62122,1689396
2015-10-09T15:00:00+03:00,62119,62888,61995,62680,1923544
2015-10-09T19:00:00+03:00,62676,63039,62542,62931,522161
2015-10-09T23:00:00+03:00,62930,63129,62881,63051,59471
2015-10-12T07:00:00+03:00,63001,63001,62111,62119,588888
2015-10-12T11:00:00+03:00,62117,62427,62065,62125,1000362
2015-10-12T15:00:00+03:00,62124,62717,62113,62650,1179671
