2026-02-06 14:35:18 | WARNING  | train_classical | GARCH forecast failed for ALRS: Analytic forecasts not available for horizon > 1
2026-02-06 14:35:20 | WARNING  | train_classical | GARCH forecast failed for LSRG: Analytic forecasts not available for horizon > 1
2026-02-06 14:35:21 | WARNING  | train_classical | GARCH forecast failed for MOEX: Analytic forecasts not available for horizon > 1
2026-02-06 14:35:21 | WARNING  | train_classical | GARCH forecast failed for MTLR: Analytic forecasts not available for horizon > 1
2026-02-06 14:35:22 | WARNING  | train_classical | GARCH forecast failed for MTSS: Analytic forecasts not available for horizon > 1
2026-02-06 14:35:23 | WARNING  | train_classical | GARCH forecast failed for OGKB: Analytic forecasts not available for horizon > 1
2026-02-06 14:35:23 | WARNING  | train_classical | GARCH forecast failed for PHOR: Analytic forecasts not available for horizon > 1
2026-02-06 14:35:24 | WARNING  | train_classical | GARCH forecast failed for RTKM: Analytic forecasts not available for horizon > 1
2026-02-06 14:35:25 | WARNING  | train_classical | GARCH forecast failed for TATN: Analytic forecasts not available for horizon > 1
2026-02-06 14:35:25 | WARNING  | train_classical | GARCH forecast failed for VTBR: Analytic forecasts not available for horizon > 1
2026-02-06 14:35:25 | INFO     | train_classical | GARCH: Trained 6/17 tickers
2026-02-06 14:35:25 | INFO     | train_classical | Saved HAR predictions: /Users/nilysenok/Desktop/MOEX_ISS/moex_volatility/data/predictions/test_2019/har_h5.parquet
2026-02-06 14:35:25 | INFO     | train_classical | Saved GARCH predictions: /Users/nilysenok/Desktop/MOEX_ISS/moex_volatility/data/predictions/test_2019/garch_h5.parquet
2026-02-06 14:35:25 | INFO     | train_classical | 
--- Horizon 5 Summary ---
2026-02-06 14:35:25 | INFO     | train_classical | 
HAR Results (top 5):
2026-02-06 14:35:25 | INFO     | train_classical |   AFLT: RMSE=0.000341, R²=-3.1536, QLIKE=-7.3144
2026-02-06 14:35:25 | INFO     | train_classical |   ALRS: RMSE=0.000216, R²=-0.0102, QLIKE=-7.6635
2026-02-06 14:35:25 | INFO     | train_classical |   HYDR: RMSE=0.000217, R²=-0.0177, QLIKE=-7.7358
2026-02-06 14:35:25 | INFO     | train_classical |   IRAO: RMSE=0.000637, R²=0.0250, QLIKE=-7.0544
2026-02-06 14:35:25 | INFO     | train_classical |   LKOH: RMSE=0.000151, R²=-0.0287, QLIKE=-7.8468
2026-02-06 14:35:25 | INFO     | train_classical | 
GARCH Results (top 5):
2026-02-06 14:35:25 | INFO     | train_classical |   HYDR: RMSE=0.000969, R²=-20.0035, AIC=3807.063457232252
2026-02-06 14:35:25 | INFO     | train_classical |   IRAO: RMSE=0.001923, R²=-8.0373, AIC=3747.0296142197826
2026-02-06 14:35:25 | INFO     | train_classical |   LKOH: RMSE=0.001305, R²=-75.0892, AIC=3316.0164911305146
