sharpe,ann_ret_pct,max_dd_pct,exposure_pct,n_trades,year,approach,strategy,timeframe,ticker,sigma_variant
0.5008,1.44,-2.07,0.57,3,2025,F,S1_MeanRev,hourly,LSRG,v4_realized
0.0,0.0,0.0,0.0,0,2022,G,S1_MeanRev,hourly,LSRG,v4_realized
0.8813,0.45,-0.06,0.04,1,2023,G,S1_MeanRev,hourly,LSRG,v4_realized
0.8116,0.48,-0.17,0.22,3,2024,G,S1_MeanRev,hourly,LSRG,v4_realized
0.5596,1.8,-2.07,0.65,3,2025,G,S1_MeanRev,hourly,LSRG,v4_realized
-1.2678,-6.99,-7.7,1.96,7,2020,A,S2_Bollinger,hourly,LSRG,v1_sqrt9
-0.2316,-0.59,-2.15,0.96,4,2021,A,S2_Bollinger,hourly,LSRG,v1_sqrt9
-1.1481,-0.82,-0.75,0.05,1,2022,A,S2_Bollinger,hourly,LSRG,v1_sqrt9
0.718,0.77,-0.65,0.22,2,2023,A,S2_Bollinger,hourly,LSRG,v1_sqrt9
0.412,1.15,-1.47,0.96,4,2024,A,S2_Bollinger,hourly,LSRG,v1_sqrt9
-0.9347,-1.12,-1.64,0.82,3,2025,A,S2_Bollinger,hourly,LSRG,v1_sqrt9
-1.1481,-0.82,-0.75,0.05,1,2022,B,S2_Bollinger,hourly,LSRG,v1_sqrt9
