sharpe,ann_ret_pct,ann_vol_pct,max_dd_pct,exposure_pct,n_trades,trades_per_yr,win_rate_pct,year,approach,strategy,timeframe,ticker
1.2697,3.62,2.85,-0.4,1.57,2,1.6,100.0,2025,D,S2_Bollinger,daily,AFLT
2.0778,62.31,29.99,-14.39,24.8,7,7.1,57.1,2020,A,S3_Donchian,daily,AFLT
-1.0616,-9.72,9.15,-13.69,18.43,7,6.9,28.6,2021,A,S3_Donchian,daily,AFLT
0.4487,18.91,42.14,-16.59,32.91,7,7.5,28.6,2022,A,S3_Donchian,daily,AFLT
0.9041,18.33,20.28,-12.13,59.84,6,6.0,50.0,2023,A,S3_Donchian,daily,AFLT
0.0297,0.93,31.44,-36.6,65.23,7,6.9,28.6,2024,A,S3_Donchian,daily,AFLT
0.4301,9.56,22.22,-16.17,32.08,6,4.8,33.3,2025,A,S3_Donchian,daily,AFLT
1.194,18.92,15.84,-3.21,2.56,3,3.2,100.0,2022,B,S3_Donchian,daily,AFLT
1.5793,13.37,8.47,-3.43,12.6,6,6.0,66.7,2023,B,S3_Donchian,daily,AFLT
0.4856,2.07,4.27,-2.03,1.56,1,1.0,100.0,2024,B,S3_Donchian,daily,AFLT
0.4782,2.79,5.84,-3.97,0.94,3,2.4,66.7,2025,B,S3_Donchian,daily,AFLT
1.0002,39.35,39.34,-10.41,11.54,10,10.8,50.0,2022,C,S3_Donchian,daily,AFLT
-0.1961,-1.73,8.81,-10.72,9.84,12,11.9,50.0,2023,C,S3_Donchian,daily,AFLT
0.2155,6.33,29.37,-31.64,48.44,10,9.8,50.0,2024,C,S3_Donchian,daily,AFLT
0.1003,2.11,21.01,-15.56,26.73,13,10.3,38.5,2025,C,S3_Donchian,daily,AFLT
0.7357,30.22,41.08,-16.59,27.78,9,9.7,33.3,2022,D,S3_Donchian,daily,AFLT
0.9041,18.33,20.28,-12.13,59.84,6,6.0,50.0,2023,D,S3_Donchian,daily,AFLT
0.0297,0.93,31.44,-36.6,65.23,7,6.9,28.6,2024,D,S3_Donchian,daily,AFLT
0.4301,9.56,22.22,-16.17,32.08,6,4.8,33.3,2025,D,S3_Donchian,daily,AFLT
1.9004,55.1,28.99,-21.91,21.6,3,3.0,66.7,2020,A,S4_Supertrend,daily,AFLT
-0.4698,-4.6,9.8,-7.96,47.06,4,4.0,25.0,2021,A,S4_Supertrend,daily,AFLT
0.9726,20.36,20.94,-5.92,9.4,3,3.2,66.7,2022,A,S4_Supertrend,daily,AFLT
0.0719,0.37,5.12,-4.5,6.69,3,3.0,66.7,2023,A,S4_Supertrend,daily,AFLT
1.2793,30.1,23.53,-15.82,40.62,6,5.9,83.3,2024,A,S4_Supertrend,daily,AFLT
0.6306,11.05,17.52,-14.06,22.01,3,2.4,66.7,2025,A,S4_Supertrend,daily,AFLT
0.9085,15.39,16.94,-4.21,2.99,3,3.2,33.3,2022,B,S4_Supertrend,daily,AFLT
1.851,11.37,6.14,-0.58,2.36,1,1.0,100.0,2023,B,S4_Supertrend,daily,AFLT
0.8692,8.68,9.98,-5.93,7.03,7,6.9,57.1,2024,B,S4_Supertrend,daily,AFLT
0.0824,0.33,3.95,-3.35,0.94,3,2.4,33.3,2025,B,S4_Supertrend,daily,AFLT
0.9726,20.36,20.94,-5.92,9.4,3,3.2,66.7,2022,C,S4_Supertrend,daily,AFLT
-0.5626,-2.17,3.86,-4.2,4.33,5,5.0,40.0,2023,C,S4_Supertrend,daily,AFLT
0.2052,3.68,17.93,-11.51,19.53,17,16.7,35.3,2024,C,S4_Supertrend,daily,AFLT
0.6229,10.63,17.06,-15.85,19.18,8,6.3,62.5,2025,C,S4_Supertrend,daily,AFLT
1.2603,19.92,15.81,-2.41,1.71,1,1.1,100.0,2022,D,S4_Supertrend,daily,AFLT
0.0719,0.37,5.12,-4.5,6.69,3,3.0,66.7,2023,D,S4_Supertrend,daily,AFLT
1.6323,28.86,17.68,-7.78,25.39,4,3.9,100.0,2024,D,S4_Supertrend,daily,AFLT
1.1097,4.73,4.26,-0.4,0.94,2,1.6,100.0,2025,D,S4_Supertrend,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2020,A,S5_PivotPoints,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2021,A,S5_PivotPoints,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2022,A,S5_PivotPoints,daily,AFLT
